zip,Zipcode name,City,State,County Name
42323,"BEECHMONT, KY",BEECHMONT,KY,MUHLENBERG
41513,"BELCHER, KY",BELCHER,KY,PIKE
41514,"BELFRY, KY",BELFRY,KY,PIKE
41073,"BELLEVUE, KY",BELLEVUE,KY,CAMPBELL
42324,"BELTON, KY",BELTON,KY,MUHLENBERG
40807,"BENHAM, KY",BENHAM,KY,HARLAN
42025,"BENTON, KY",BENTON,KY,MARSHALL
40403,"BEREA, KY",BEREA,KY,MADISON
40404,"BEREA, KY",BEREA,KY,MADISON
41003,"BERRY, KY",BERRY,KY,HARRISON
42516,"BETHELRIDGE, KY",BETHELRIDGE,KY,CASEY
40007,"BETHLEHEM, KY",BETHLEHEM,KY,HENRY
41605,"BETSY LAYNE, KY",BETSY LAYNE,KY,FLOYD
40913,"BEVERLY, KY",BEVERLY,KY,BELL
41606,"BEVINSVILLE, KY",BEVINSVILLE,KY,FLOYD
42712,"BIG CLIFTY, KY",BIG CLIFTY,KY,GRAYSON
40914,"BIG CREEK, KY",BIG CREEK,KY,CLAY
40808,"BIG LAUREL, KY",BIG LAUREL,KY,HARLAN
40405,"BIGHILL, KY",BIGHILL,KY,MADISON
40915,"BIMBLE, KY",BIMBLE,KY,KNOX
41804,"BLACKEY, KY",BLACKEY,KY,LETCHER
41124,"BLAINE, KY",BLAINE,KY,LAWRENCE
40810,"BLEDSOE, KY",BLEDSOE,KY,HARLAN
40008,"BLOOMFIELD, KY",BLOOMFIELD,KY,NELSON
41607,"BLUE RIVER, KY",BLUE RIVER,KY,FLOYD
42027,"BOAZ, KY",BOAZ,KY,GRAVES
42713,"BONNIEVILLE, KY",BONNIEVILLE,KY,HART
41719,"BONNYMAN, KY",BONNYMAN,KY,PERRY
41314,"BOONEVILLE, KY",BOONEVILLE,KY,OWSLEY
41204,"BOONS CAMP, KY",BOONS CAMP,KY,JOHNSON
40107,"BOSTON, KY",BOSTON,KY,NELSON
42101,"BOWLING GREEN, KY",BOWLING GREEN,KY,WARREN
42102,"BOWLING GREEN, KY",BOWLING GREEN,KY,WARREN
42103,"BOWLING GREEN, KY",BOWLING GREEN,KY,WARREN
42104,"BOWLING GREEN, KY",BOWLING GREEN,KY,WARREN
40009,"BRADFORDSVILLE, KY",BRADFORDSVILLE,KY,MARION
40108,"BRANDENBURG, KY",BRANDENBURG,KY,MEADE
42715,"BREEDING, KY",BREEDING,KY,ADAIR
42325,"BREMEN, KY",BREMEN,KY,MUHLENBERG
40409,"BRODHEAD, KY",BRODHEAD,KY,ROCKCASTLE
42518,"BRONSTON, KY",BRONSTON,KY,PULASKI
40109,"BROOKS, KY",BROOKS,KY,BULLITT
41004,"BROOKSVILLE, KY",BROOKSVILLE,KY,BRACKEN
42210,"BROWNSVILLE, KY",BROWNSVILLE,KY,EDMONSON
40921,"BRYANTS STORE, KY",BRYANTS STORE,KY,KNOX
40410,"BRYANTSVILLE, KY",BRYANTSVILLE,KY,GARRARD
41721,"BUCKHORN, KY",BUCKHORN,KY,PERRY
40010,"BUCKNER, KY",BUCKNER,KY,OLDHAM
42716,"BUFFALO, KY",BUFFALO,KY,LARUE
41722,"BULAN, KY",BULAN,KY,PERRY
41517,"BURDINE, KY",BURDINE,KY,LETCHER
40310,"BURGIN, KY",BURGIN,KY,MERCER
42717,"BURKESVILLE, KY",BURKESVILLE,KY,CUMBERLAND
41005,"BURLINGTON, KY",BURLINGTON,KY,BOONE
42028,"BURNA, KY",BURNA,KY,LIVINGSTON
42519,"BURNSIDE, KY",BURNSIDE,KY,PULASKI
41723,"BUSY, KY",BUSY,KY,PERRY
41006,"BUTLER, KY",BUTLER,KY,PENDLETON
41612,"BYPRO, KY",BYPRO,KY,FLOYD
42211,"CADIZ, KY",CADIZ,KY,TRIGG
42327,"CALHOUN, KY",CALHOUN,KY,MCLEAN
41007,"CALIFORNIA, KY",CALIFORNIA,KY,CAMPBELL
42029,"CALVERT CITY, KY",CALVERT CITY,KY,MARSHALL
40813,"CALVIN, KY",CALVIN,KY,BELL
40011,"CAMPBELLSBURG, KY",CAMPBELLSBURG,KY,HENRY
42718,"CAMPBELLSVILLE, KY",CAMPBELLSVILLE,KY,TAYLOR
42719,"CAMPBELLSVILLE, KY",CAMPBELLSVILLE,KY,TAYLOR
41301,"CAMPTON, KY",CAMPTON,KY,WOLFE
41519,"CANADA, KY",CANADA,KY,PIKE
42721,"CANEYVILLE, KY",CANEYVILLE,KY,GRAYSON
42722,"CANMER, KY",CANMER,KY,HART
40923,"CANNON, KY",CANNON,KY,KNOX
40311,"CARLISLE, KY",CARLISLE,KY,NICHOLAS
41725,"CARRIE, KY",CARRIE,KY,KNOTT
41008,"CARROLLTON, KY",CARROLLTON,KY,CARROLL
41128,"CARTER, KY",CARTER,KY,CARTER
41129,"CATLETTSBURG, KY",CATLETTSBURG,KY,BOYD
42127,"CAVE CITY, KY",CAVE CITY,KY,BARREN
40815,"CAWOOD, KY",CAWOOD,KY,HARLAN
42724,"CECILIA, KY",CECILIA,KY,HARDIN
42214,"CENTER, KY",CENTER,KY,METCALFE
42328,"CENTERTOWN, KY",CENTERTOWN,KY,OHIO
42330,"CENTRAL CITY, KY",CENTRAL CITY,KY,MUHLENBERG
42215,"CERULEAN, KY",CERULEAN,KY,TRIGG
40012,"CHAPLIN, KY",CHAPLIN,KY,NELSON
41727,"CHAVIES, KY",CHAVIES,KY,PERRY
42726,"CLARKSON, KY",CLARKSON,KY,GRAYSON
42404,"CLAY, KY",CLAY,KY,WEBSTER
40312,"CLAY CITY, KY",CLAY CITY,KY,POWELL
41317,"CLAYHOLE, KY",CLAYHOLE,KY,BREATHITT
40313,"CLEARFIELD, KY",CLEARFIELD,KY,ROWAN
42332,"CLEATON, KY",CLEATON,KY,MUHLENBERG
40110,"CLERMONT, KY",CLERMONT,KY,BULLITT
42216,"CLIFTY, KY",CLIFTY,KY,TODD
42031,"CLINTON, KY",CLINTON,KY,HICKMAN
40927,"CLOSPLINT, KY",CLOSPLINT,KY,HARLAN
40111,"CLOVERPORT, KY",CLOVERPORT,KY,BRECKINRIDGE
40819,"COLDIRON, KY",COLDIRON,KY,HARLAN
42728,"COLUMBIA, KY",COLUMBIA,KY,ADAIR
42032,"COLUMBUS, KY",COLUMBUS,KY,HICKMAN
41729,"COMBS, KY",COMBS,KY,PERRY
40701,"CORBIN, KY",CORBIN,KY,WHITLEY
40702,"CORBIN, KY",CORBIN,KY,WHITLEY
41010,"CORINTH, KY",CORINTH,KY,GRANT
41731,"CORNETTSVILLE, KY",CORNETTSVILLE,KY,PERRY
42406,"CORYDON, KY",CORYDON,KY,HENDERSON
41011,"COVINGTON, KY",COVINGTON,KY,KENTON
41012,"COVINGTON, KY",COVINGTON,KY,KENTON
41014,"COVINGTON, KY",COVINGTON,KY,KENTON
41016,"COVINGTON, KY",COVINGTON,KY,KENTON
41019,"COVINGTON, KY",COVINGTON,KY,KENTON
40013,"COXS CREEK, KY",COXS CREEK,KY,NELSON
40419,"CRAB ORCHARD, KY",CRAB ORCHARD,KY,LINCOLN
40820,"CRANKS, KY",CRANKS,KY,HARLAN
42033,"CRAYNE, KY",CRAYNE,KY,CRITTENDEN
40014,"CRESTWOOD, KY",CRESTWOOD,KY,OLDHAM
41030,"CRITTENDEN, KY",CRITTENDEN,KY,GRANT
41413,"CROCKETT, KY",CROCKETT,KY,MORGAN
42217,"CROFTON, KY",CROFTON,KY,CHRISTIAN
41810,"CROMONA, KY",CROMONA,KY,LETCHER
42333,"CROMWELL, KY",CROMWELL,KY,OHIO
42729,"CUB RUN, KY",CUB RUN,KY,HART
40823,"CUMBERLAND, KY",CUMBERLAND,KY,HARLAN
42035,"CUNNINGHAM, KY",CUNNINGHAM,KY,CARLISLE
40115,"CUSTER, KY",CUSTER,KY,BRECKINRIDGE
41031,"CYNTHIANA, KY",CYNTHIANA,KY,HARRISON
41615,"DANA, KY",DANA,KY,FLOYD
40422,"DANVILLE, KY",DANVILLE,KY,BOYLE
40423,"DANVILLE, KY",DANVILLE,KY,BOYLE
41616,"DAVID, KY",DAVID,KY,FLOYD
42408,"DAWSON SPRINGS, KY",DAWSON SPRINGS,KY,HOPKINS
40824,"DAYHOIT, KY",DAYHOIT,KY,HARLAN
41074,"DAYTON, KY",DAYTON,KY,CAMPBELL
41033,"DE MOSSVILLE, KY",DE MOSSVILLE,KY,PENDLETON
41812,"DEANE, KY",DEANE,KY,LETCHER
41214,"DEBORD, KY",DEBORD,KY,MARTIN
41735,"DELPHIA, KY",DELPHIA,KY,PERRY
41859,"DEMA, KY",DEMA,KY,KNOTT
40316,"DENNISTON, KY",DENNISTON,KY,MENIFEE
42036,"DEXTER, KY",DEXTER,KY,CALLOWAY
42409,"DIXON, KY",DIXON,KY,WEBSTER
41520,"DORTON, KY",DORTON,KY,PIKE
41034,"DOVER, KY",DOVER,KY,MASON
42337,"DRAKESBORO, KY",DRAKESBORO,KY,MUHLENBERG
41619,"DRIFT, KY",DRIFT,KY,FLOYD
41035,"DRY RIDGE, KY",DRY RIDGE,KY,GRANT
42219,"DUNBAR, KY",DUNBAR,KY,BUTLER
42338,"DUNDEE, KY",DUNDEE,KY,OHIO
42339,"DUNMOR, KY",DUNMOR,KY,MUHLENBERG
42528,"DUNNVILLE, KY",DUNNVILLE,KY,CASEY
41621,"DWALE, KY",DWALE,KY,FLOYD
41739,"DWARF, KY",DWARF,KY,PERRY
42410,"EARLINGTON, KY",EARLINGTON,KY,HOPKINS
40729,"EAST BERNSTADT, KY",EAST BERNSTADT,KY,LAUREL
41216,"EAST POINT, KY",EAST POINT,KY,JOHNSON
41622,"EASTERN, KY",EASTERN,KY,FLOYD
42732,"EASTVIEW, KY",EASTVIEW,KY,HARDIN
40018,"EASTWOOD, KY",EASTWOOD,KY,JEFFERSON
42038,"EDDYVILLE, KY",EDDYVILLE,KY,LYON
42129,"EDMONTON, KY",EDMONTON,KY,METCALFE
42130,"EIGHTY EIGHT, KY",EIGHTY EIGHT,KY,BARREN
40117,"EKRON, KY",EKRON,KY,MEADE
42701,"ELIZABETHTOWN, KY",ELIZABETHTOWN,KY,HARDIN
42702,"ELIZABETHTOWN, KY",ELIZABETHTOWN,KY,HARDIN
41037,"ELIZAVILLE, KY",ELIZAVILLE,KY,FLEMING
42733,"ELK HORN, KY",ELK HORN,KY,TAYLOR
41522,"ELKHORN CITY, KY",ELKHORN CITY,KY,PIKE
42220,"ELKTON, KY",ELKTON,KY,TODD
41135,"EMERSON, KY",EMERSON,KY,LEWIS
40019,"EMINENCE, KY",EMINENCE,KY,HENRY
41740,"EMMALENA, KY",EMMALENA,KY,KNOTT
40826,"EOLIA, KY",EOLIA,KY,LETCHER
41018,"ERLANGER, KY",ERLANGER,KY,KENTON
41025,"ERLANGER, KY",ERLANGER,KY,KENTON
41815,"ERMINE, KY",ERMINE,KY,LETCHER
40827,"ESSIE, KY",ESSIE,KY,LESLIE
42131,"ETOILE, KY",ETOILE,KY,BARREN
42567,"EUBANK, KY",EUBANK,KY,PULASKI
40828,"EVARTS, KY",EVARTS,KY,HARLAN
41039,"EWING, KY",EWING,KY,FLEMING
41425,"EZEL, KY",EZEL,KY,MORGAN
40118,"FAIRDALE, KY",FAIRDALE,KY,JEFFERSON
40020,"FAIRFIELD, KY",FAIRFIELD,KY,NELSON
42221,"FAIRVIEW, KY",FAIRVIEW,KY,CHRISTIAN
40932,"FALL ROCK, KY",FALL ROCK,KY,CLAY
40119,"FALLS OF ROUGH, KY",FALLS OF ROUGH,KY,GRAYSON
41040,"FALMOUTH, KY",FALMOUTH,KY,PENDLETON
42039,"FANCY FARM, KY",FANCY FARM,KY,GRAVES
40319,"FARMERS, KY",FARMERS,KY,ROWAN
42040,"FARMINGTON, KY",FARMINGTON,KY,GRAVES
41524,"FEDSCREEK, KY",FEDSCREEK,KY,PIKE
42533,"FERGUSON, KY",FERGUSON,KY,PULASKI
40022,"FINCHVILLE, KY",FINCHVILLE,KY,SHELBY
40023,"FISHERVILLE, KY",FISHERVILLE,KY,JEFFERSON
41743,"FISTY, KY",FISTY,KY,KNOTT
40935,"FLAT LICK, KY",FLAT LICK,KY,KNOX
41219,"FLATGAP, KY",FLATGAP,KY,JOHNSON
41139,"FLATWOODS, KY",FLATWOODS,KY,GREENUP
41041,"FLEMINGSBURG, KY",FLEMINGSBURG,KY,FLEMING
41022,"FLORENCE, KY",FLORENCE,KY,BOONE
41042,"FLORENCE, KY",FLORENCE,KY,BOONE
42343,"FORDSVILLE, KY",FORDSVILLE,KY,OHIO
41527,"FOREST HILLS, KY",FOREST HILLS,KY,PIKE
42223,"FORT CAMPBELL, KY",FORT CAMPBELL,KY,CHRISTIAN
40121,"FORT KNOX, KY",FORT KNOX,KY,HARDIN
40122,"FORT KNOX, KY",FORT KNOX,KY,HARDIN
41075,"FORT THOMAS, KY",FORT THOMAS,KY,CAMPBELL
41043,"FOSTER, KY",FOSTER,KY,BRACKEN
42133,"FOUNTAIN RUN, KY",FOUNTAIN RUN,KY,MONROE
40939,"FOURMILE, KY",FOURMILE,KY,BELL
40940,"FRAKES, KY",FRAKES,KY,BELL
40601,"FRANKFORT, KY",FRANKFORT,KY,FRANKLIN
40602,"FRANKFORT, KY",FRANKFORT,KY,FRANKLIN
40603,"FRANKFORT, KY",FRANKFORT,KY,FRANKLIN
40604,"FRANKFORT, KY",FRANKFORT,KY,FRANKLIN
40621,"FRANKFORT, KY",FRANKFORT,KY,FRANKLIN
42134,"FRANKLIN, KY",FRANKLIN,KY,SIMPSON
42135,"FRANKLIN, KY",FRANKLIN,KY,SIMPSON
42411,"FREDONIA, KY",FREDONIA,KY,CALDWELL
41528,"FREEBURN, KY",FREEBURN,KY,PIKE
40322,"FRENCHBURG, KY",FRENCHBURG,KY,MENIFEE
41017,"FT MITCHELL, KY",FT MITCHELL,KY,KENTON
42041,"FULTON, KY",FULTON,KY,FULTON
42140,"GAMALIEL, KY",GAMALIEL,KY,MONROE
40140,"GARFIELD, KY",GARFIELD,KY,BRECKINRIDGE
41817,"GARNER, KY",GARNER,KY,KNOTT
40941,"GARRARD, KY",GARRARD,KY,CLAY
41630,"GARRETT, KY",GARRETT,KY,FLOYD
41141,"GARRISON, KY",GARRISON,KY,LEWIS
41745,"GAYS CREEK, KY",GAYS CREEK,KY,PERRY
40324,"GEORGETOWN, KY",GEORGETOWN,KY,SCOTT
41044,"GERMANTOWN, KY",GERMANTOWN,KY,BRACKEN
41045,"GHENT, KY",GHENT,KY,CARROLL
42044,"GILBERTSVILLE, KY",GILBERTSVILLE,KY,MARSHALL
40943,"GIRDLER, KY",GIRDLER,KY,KNOX
42141,"GLASGOW, KY",GLASGOW,KY,BARREN
42142,"GLASGOW, KY",GLASGOW,KY,BARREN
41046,"GLENCOE, KY",GLENCOE,KY,GALLATIN
42740,"GLENDALE, KY",GLENDALE,KY,HARDIN
42741,"GLENS FORK, KY",GLENS FORK,KY,ADAIR
40025,"GLENVIEW, KY",GLENVIEW,KY,JEFFERSON
41819,"GORDON, KY",GORDON,KY,LETCHER
40026,"GOSHEN, KY",GOSHEN,KY,OLDHAM
42232,"GRACEY, KY",GRACEY,KY,CHRISTIAN
42344,"GRAHAM, KY",GRAHAM,KY,MUHLENBERG
41142,"GRAHN, KY",GRAHN,KY,CARTER
42045,"GRAND RIVERS, KY",GRAND RIVERS,KY,LIVINGSTON
40328,"GRAVEL SWITCH, KY",GRAVEL SWITCH,KY,MARION
40734,"GRAY, KY",GRAY,KY,KNOX
40434,"GRAY HAWK, KY",GRAY HAWK,KY,JACKSON
40829,"GRAYS KNOB, KY",GRAYS KNOB,KY,HARLAN
41143,"GRAYSON, KY",GRAYSON,KY,CARTER
40946,"GREEN ROAD, KY",GREEN ROAD,KY,KNOX
42743,"GREENSBURG, KY",GREENSBURG,KY,GREEN
41144,"GREENUP, KY",GREENUP,KY,GREENUP
42345,"GREENVILLE, KY",GREENVILLE,KY,MUHLENBERG
41631,"GRETHEL, KY",GRETHEL,KY,FLOYD
40830,"GULSTON, KY",GULSTON,KY,HARLAN
41632,"GUNLOCK, KY",GUNLOCK,KY,MAGOFFIN
40142,"GUSTON, KY",GUSTON,KY,MEADE
42234,"GUTHRIE, KY",GUTHRIE,KY,TODD
41222,"HAGERHILL, KY",HAGERHILL,KY,JOHNSON
41821,"HALLIE, KY",HALLIE,KY,LETCHER
42047,"HAMPTON, KY",HAMPTON,KY,LIVINGSTON
42413,"HANSON, KY",HANSON,KY,HOPKINS
41746,"HAPPY, KY",HAPPY,KY,PERRY
42048,"HARDIN, KY",HARDIN,KY,MARSHALL
40143,"HARDINSBURG, KY",HARDINSBURG,KY,BRECKINRIDGE
41531,"HARDY, KY",HARDY,KY,PIKE
42746,"HARDYVILLE, KY",HARDYVILLE,KY,HART
40831,"HARLAN, KY",HARLAN,KY,HARLAN
40144,"HARNED, KY",HARNED,KY,BRECKINRIDGE
41635,"HAROLD, KY",HAROLD,KY,FLOYD
40027,"HARRODS CREEK, KY",HARRODS CREEK,KY,JEFFERSON
40330,"HARRODSBURG, KY",HARRODSBURG,KY,MERCER
42347,"HARTFORD, KY",HARTFORD,KY,OHIO
42348,"HAWESVILLE, KY",HAWESVILLE,KY,HANCOCK
41701,"HAZARD, KY",HAZARD,KY,PERRY
41702,"HAZARD, KY",HAZARD,KY,PERRY
42049,"HAZEL, KY",HAZEL,KY,CALLOWAY
41332,"HAZEL GREEN, KY",HAZEL GREEN,KY,WOLFE
41048,"HEBRON, KY",HEBRON,KY,BOONE
40949,"HEIDRICK, KY",HEIDRICK,KY,KNOX
41534,"HELLIER, KY",HELLIER,KY,PIKE
40840,"HELTON, KY",HELTON,KY,LESLIE
42419,"HENDERSON, KY",HENDERSON,KY,HENDERSON
42420,"HENDERSON, KY",HENDERSON,KY,HENDERSON
42236,"HERNDON, KY",HERNDON,KY,CHRISTIAN
42151,"HESTAND, KY",HESTAND,KY,MONROE
41636,"HI HAT, KY",HI HAT,KY,FLOYD
42050,"HICKMAN, KY",HICKMAN,KY,FULTON
42051,"HICKORY, KY",HICKORY,KY,GRAVES
41049,"HILLSBORO, KY",HILLSBORO,KY,FLEMING
40129,"HILLVIEW, KY",HILLVIEW,KY,BULLITT
40951,"HIMA, KY",HIMA,KY,CLAY
41822,"HINDMAN, KY",HINDMAN,KY,KNOTT
40953,"HINKLE, KY",HINKLE,KY,KNOX
42152,"HISEVILLE, KY",HISEVILLE,KY,BARREN
41146,"HITCHINS, KY",HITCHINS,KY,CARTER
42748,"HODGENVILLE, KY",HODGENVILLE,KY,LARUE
42153,"HOLLAND, KY",HOLLAND,KY,ALLEN
40843,"HOLMES MILL, KY",HOLMES MILL,KY,HARLAN
40334,"HOPE, KY",HOPE,KY,BATH
42240,"HOPKINSVILLE, KY",HOPKINSVILLE,KY,CHRISTIAN
42241,"HOPKINSVILLE, KY",HOPKINSVILLE,KY,CHRISTIAN
42349,"HORSE BRANCH, KY",HORSE BRANCH,KY,OHIO
42749,"HORSE CAVE, KY",HORSE CAVE,KY,HART
40844,"HOSKINSTON, KY",HOSKINSTON,KY,LESLIE
41535,"HUDDY, KY",HUDDY,KY,PIKE
40145,"HUDSON, KY",HUDSON,KY,BRECKINRIDGE
41640,"HUEYSVILLE, KY",HUEYSVILLE,KY,FLOYD
40845,"HULEN, KY",HULEN,KY,BELL
40437,"HUSTONVILLE, KY",HUSTONVILLE,KY,LINCOLN
41749,"HYDEN, KY",HYDEN,KY,LESLIE
41051,"INDEPENDENCE, KY",INDEPENDENCE,KY,KENTON
41224,"INEZ, KY",INEZ,KY,MARTIN
40955,"INGRAM, KY",INGRAM,KY,BELL
40336,"IRVINE, KY",IRVINE,KY,ESTILL
40146,"IRVINGTON, KY",IRVINGTON,KY,BRECKINRIDGE
42350,"ISLAND, KY",ISLAND,KY,MCLEAN
41824,"ISOM, KY",ISOM,KY,LETCHER
41149,"ISONVILLE, KY",ISONVILLE,KY,ELLIOTT
41642,"IVEL, KY",IVEL,KY,FLOYD
41339,"JACKSON, KY",JACKSON,KY,BREATHITT
42629,"JAMESTOWN, KY",JAMESTOWN,KY,RUSSELL
41751,"JEFF, KY",JEFF,KY,PERRY
40337,"JEFFERSONVILLE, KY",JEFFERSONVILLE,KY,MONTGOMERY
41537,"JENKINS, KY",JENKINS,KY,LETCHER
41826,"JEREMIAH, KY",JEREMIAH,KY,LETCHER
41538,"JONANCY, KY",JONANCY,KY,PIKE
41052,"JONESVILLE, KY",JONESVILLE,KY,GRANT
40440,"JUNCTION CITY, KY",JUNCTION CITY,KY,BOYLE
41226,"KEATON, KY",KEATON,KY,JOHNSON
40737,"KEAVY, KY",KEAVY,KY,LAUREL
40339,"KEENE, KY",KEENE,KY,JESSAMINE
41053,"KENTON, KY",KENTON,KY,KENTON
40847,"KENVIR, KY",KENVIR,KY,HARLAN
42053,"KEVIL, KY",KEVIL,KY,MCCRACKEN
41539,"KIMPER, KY",KIMPER,KY,PIKE
40442,"KINGS MOUNTAIN, KY",KINGS MOUNTAIN,KY,LINCOLN
42054,"KIRKSEY, KY",KIRKSEY,KY,CALLOWAY
41828,"KITE, KY",KITE,KY,KNOTT
42753,"KNIFLEY, KY",KNIFLEY,KY,ADAIR
42154,"KNOB LICK, KY",KNOB LICK,KY,METCALFE
41754,"KRYPTON, KY",KRYPTON,KY,PERRY
42055,"KUTTAWA, KY",KUTTAWA,KY,LYON
42056,"LA CENTER, KY",LA CENTER,KY,BALLARD
40031,"LA GRANGE, KY",LA GRANGE,KY,OLDHAM
40032,"LA GRANGE, KY",LA GRANGE,KY,OLDHAM
41643,"LACKEY, KY",LACKEY,KY,FLOYD
40444,"LANCASTER, KY",LANCASTER,KY,GARRARD
41645,"LANGLEY, KY",LANGLEY,KY,FLOYD
41015,"LATONIA, KY",LATONIA,KY,KENTON
40342,"LAWRENCEBURG, KY",LAWRENCEBURG,KY,ANDERSON
40033,"LEBANON, KY",LEBANON,KY,MARION
40150,"LEBANON JUNCTION, KY",LEBANON JUNCTION,KY,BULLITT
41831,"LEBURN, KY",LEBURN,KY,KNOTT
42058,"LEDBETTER, KY",LEDBETTER,KY,LIVINGSTON
42754,"LEITCHFIELD, KY",LEITCHFIELD,KY,GRAYSON
42755,"LEITCHFIELD, KY",LEITCHFIELD,KY,GRAYSON
42256,"LEWISBURG, KY",LEWISBURG,KY,LOGAN
42351,"LEWISPORT, KY",LEWISPORT,KY,HANCOCK
40502,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40503,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40504,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40505,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40506,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40507,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40508,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40509,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40510,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40511,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40512,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40513,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40514,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40515,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40516,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40517,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40522,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40523,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40524,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40526,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40533,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40536,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40544,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40546,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40550,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40555,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40575,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40577,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40578,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40579,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40580,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40581,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40582,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40583,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40588,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
40591,"LEXINGTON, KY",LEXINGTON,KY,FAYETTE
42539,"LIBERTY, KY",LIBERTY,KY,CASEY
40740,"LILY, KY",LILY,KY,LAUREL
